timestamp,node,P1_MW,P2_MW,P3_MW,P4_MW,residential_MW,non_residential_MW,total_demand_MW
2024-01-01 00:00:00+00:00,N0,512.5349429978098,344.21341037238784,121.84847373432048,84.66534709388301,1063.262174198401,2292.2506670559173,3355.512841254318
2024-01-01 00:30:00+00:00,N0,540.6837246010213,378.70502178017495,129.2204078129344,85.44166878219964,1134.0508229763302,2276.6054857241834,3410.656308700514
2024-01-01 01:00:00+00:00,N0,580.5876882280023,503.94384303404235,139.3607258419211,86.55308299283975,1310.4453400968055,2191.353116612481,3501.7984567092863
2024-01-01 01:30:00+00:00,N0,621.6208661537307,652.0748068683215,151.88116949481406,87.77269576878957,1513.3495382856556,2079.6674794862097,3593.017017771865
2024-01-01 02:00:00+00:00,N0,677.9902730534385,720.7133638793887,167.93030994468,89.55019672885841,1656.1841436063655,2033.9371551546612,3690.121298761027
2024-01-01 02:30:00+00:00,N0,740.6372949983868,829.6762303532552,186.75438430495717,91.66627935593645,1848.7341890125354,1959.0555892414022,3807.7897782539376
2024-01-01 03:00:00+00:00,N0,838.9867506047515,810.0405317222062,210.35165051073872,95.41239323414445,1954.7913260718406,1997.907228487243,3952.6985545590837
2024-01-01 03:30:00+00:00,N0,942.1348976421447,866.1754945248667,235.71733425566964,100.06030721690423,2144.0880336395853,1971.1357085622883,4115.223742201874
2024-01-01 04:00:00+00:00,N0,1071.7248556006118,834.2741438660779,263.55188721380057,106.66088995502129,2276.2117766355113,1947.3660338614939,4223.577810497005
2024-01-01 04:30:00+00:00,N0,1205.495948699312,886.0127979456354,290.8930490471829,114.89710582021053,2497.2989015123408,1864.435587567162,4361.734489079503
2024-01-01 05:00:00+00:00,N0,1337.3439846596127,926.1761045620201,316.0255961152236,125.24658094589222,2704.7922662827486,1794.2173605923501,4499.0096268750995
2024-01-01 05:30:00+00:00,N0,1459.3162890785977,999.7104873016623,337.2630983242938,137.93563746712528,2934.2255121716785,1713.102706609372,4647.328218781051
2024-01-01 06:00:00+00:00,N0,1614.5884781463144,1135.2290600417439,355.83882792391415,154.10947357975127,3259.765839691724,1547.321622349627,4807.0874620413515
2024-01-01 06:30:00+00:00,N0,1712.9794099328885,1267.1949683226055,365.38200024229207,171.94007805793188,3517.496456555718,1429.7011121781522,4947.19756873387
2024-01-01 07:00:00+00:00,N0,1776.2464777309785,1359.2862719512482,366.8456180860259,191.7399317020331,3694.118299470286,1388.9681295058276,5083.086428976114
2024-01-01 07:30:00+00:00,N0,1790.4111910535958,1431.2425038775752,360.1998154380737,212.7462149206077,3794.599725289852,1405.1274203423882,5199.7271456322405
2024-01-01 08:00:00+00:00,N0,1760.3573777429747,1473.3432465062892,346.0119550386905,233.9823756163209,3813.6949549042747,1485.706302453696,5299.401257357971
2024-01-01 08:30:00+00:00,N0,1685.2088455080636,1501.8603442819337,325.8956962710999,254.4215473029509,3767.3864333640486,1599.808999050503,5367.195432414552
2024-01-01 09:00:00+00:00,N0,1585.0011879998333,1571.7507920041414,302.52873223423677,273.3314117609586,3732.6121239991703,1707.2688030832426,5439.880927082412
2024-01-01 09:30:00+00:00,N0,1464.4985393565867,1610.3238807439543,278.4414133061952,289.490660739122,3642.754494145858,1803.2304309835042,5445.984925129364
2024-01-01 10:00:00+00:00,N0,1319.4458372200731,1587.4814806827228,254.8249383062507,301.2686094833508,3463.0208656923974,1985.1909900319797,5448.211855724377
2024-01-01 10:30:00+00:00,N0,1164.1583603045503,1463.8689091918848,233.6650827171253,307.45635387264764,3169.148706086208,2240.061850002678,5409.210556088886
2024-01-01 11:00:00+00:00,N0,1019.3065407777556,1338.9914806352026,217.1648909344134,308.3721772698596,2883.835089617231,2482.3694742523808,5366.204563869612
2024-01-01 11:30:00+00:00,N0,889.7045293130551,1238.462717178772,206.24841811684948,303.5339904573027,2637.9496550659796,2639.7156264500964,5277.665281516076
2024-01-01 12:00:00+00:00,N0,789.9697181637099,1144.2746010481874,202.10472409257918,294.79426089878876,2431.1433042032654,2751.6879675384666,5182.831271741732
